"play_id","game_id","home_team","away_team","posteam","posteam_type","defteam","side_of_field","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","ydstogo","shotgun","no_huddle","posteam_timeouts_remaining","defteam_timeouts_remaining","posteam_score","defteam_score","score_differential","play_type"
80,2009092701,"CIN","PIT","CIN","home","PIT","CIN",54,"2009-09-27",893,1793,3593,1,0,1,0,1,"1",15,0,0,3,3,0,0,0,0
101,2009092701,"CIN","PIT","CIN","home","PIT","CIN",53,"2009-09-27",858,1758,3558,1,0,1,0,1,"2",14,0,0,3,3,0,0,0,0
122,2009092701,"CIN","PIT","CIN","home","PIT","CIN",54,"2009-09-27",815,1715,3515,1,0,1,0,1,"3",15,1,0,3,3,0,0,0,1
484,2009092701,"CIN","PIT","CIN","home","PIT","CIN",78,"2009-09-27",408,1308,3108,1,0,3,0,1,"1",10,0,0,3,2,0,3,-3,1
541,2009092701,"CIN","PIT","CIN","home","PIT","CIN",83,"2009-09-27",384,1284,3084,1,0,3,0,1,"2",15,0,0,3,2,0,3,-3,0
562,2009092701,"CIN","PIT","CIN","home","PIT","CIN",83,"2009-09-27",345,1245,3045,1,0,3,0,1,"3",15,1,0,3,2,0,3,-3,1
823,2009092701,"CIN","PIT","CIN","home","PIT","CIN",78,"2009-09-27",55,955,2755,1,0,5,0,1,"1",10,0,0,3,2,0,10,-10,0
844,2009092701,"CIN","PIT","CIN","home","PIT","CIN",78,"2009-09-27",13,913,2713,1,0,5,0,1,"2",10,0,0,3,2,0,10,-10,1
879,2009092701,"CIN","PIT","CIN","home","PIT","CIN",88,"2009-09-27",900,900,2700,1,0,5,0,2,"3",20,1,0,3,2,0,10,-10,1
1071,2009092701,"CIN","PIT","CIN","home","PIT","CIN",90,"2009-09-27",759,759,2559,1,0,7,0,2,"1",10,0,0,3,2,0,13,-13,1
1095,2009092701,"CIN","PIT","CIN","home","PIT","CIN",81,"2009-09-27",726,726,2526,1,0,7,0,2,"2",1,0,0,3,2,0,13,-13,1
1119,2009092701,"CIN","PIT","CIN","home","PIT","CIN",74,"2009-09-27",687,687,2487,1,0,7,0,2,"1",10,0,0,3,2,0,13,-13,0
1140,2009092701,"CIN","PIT","CIN","home","PIT","CIN",72,"2009-09-27",644,644,2444,1,0,7,0,2,"2",8,0,0,3,2,0,13,-13,0
1161,2009092701,"CIN","PIT","CIN","home","PIT","CIN",65,"2009-09-27",602,602,2402,1,0,7,0,2,"3",1,0,0,3,2,0,13,-13,0
1182,2009092701,"CIN","PIT","CIN","home","PIT","CIN",63,"2009-09-27",565,565,2365,1,0,7,0,2,"1",10,0,0,3,2,0,13,-13,0
1203,2009092701,"CIN","PIT","CIN","home","PIT","CIN",61,"2009-09-27",525,525,2325,1,0,7,0,2,"2",8,1,0,3,2,0,13,-13,1
1225,2009092701,"CIN","PIT","CIN","home","PIT","CIN",61,"2009-09-27",520,520,2320,1,0,7,0,2,"3",8,1,0,3,2,0,13,-13,1
